# Rg Avg-P(Rg) Err
13.864 0.45370375146812647 0.1818652238317726
13.888 0.4467296193993907 0.17788692604913736
13.912 0.4375349900314605 0.17267429485996635
13.936 0.42624662395783347 0.16634721901949553
13.96 0.4130515787800821 0.1590622357405423
13.984 0.39817312322357873 0.1509968008381051
14.008000000000001 0.3818470255462721 0.14233410062113228
14.032 0.3643095889646966 0.13325618658992194
14.056000000000001 0.34580130564740397 0.12394938584325892
14.08 0.3265803873988873 0.11461925610245043
14.104000000000001 0.3069360072193942 0.10550712694785513
14.128 0.2871930495791717 0.09689829588878658
14.152000000000001 0.2677048576311806 0.08911230197942814
14.176 0.24883440221597902 0.08246796720666287
14.200000000000001 0.2309269287980656 0.077223177624133
14.224 0.21427939505542243 0.07350541559303765
14.248000000000001 0.19911373678398614 0.07126706728771641
14.272 0.18556068107859033 0.07029724804199355
14.296000000000001 0.17365760244719142 0.07028814032909236
14.32 0.16335915567890671 0.07091819604949279
14.344 0.15455590752024445 0.07191337927707214
14.368 0.14709575136230027 0.07307324792081576
14.392 0.1408048549399301 0.07427003654036211
14.416 0.13550691477496016 0.07543419074021653
14.44 0.13103983778813066 0.07653621317738749
14.464 0.12726800656569312 0.07757023320428875
14.488 0.12408782124496034 0.07854187774122473
14.512 0.12142553373228956 0.07946125001460219
14.536 0.11922899997892071 0.08034038413088893
14.56 0.11745713630776569 0.08119341961631692
14.584 0.11607118117726145 0.08203732941806027
14.608 0.11503031552272103 0.08289154189059944
14.632 0.11429189294602064 0.08377590257268461
14.656 0.11381473186390637 0.08470748288146823
14.68 0.11356326407134057 0.08569726734488617
14.704 0.11351072013374966 0.08674766678772204
14.728 0.11364044848467872 0.08785136645702218
14.752 0.11394536793401469 0.08899154450287142
14.776 0.11442610487245075 0.09014318520598943
14.8 0.11508849907400782 0.09127510280369051
14.824 0.1159410128363872 0.092352323693918
14.848 0.11699235978709051 0.09333855632531231
14.872 0.11824954370627579 0.09419854188507286
14.896 0.11971650393687741 0.09490010530759371
